Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
32	Treppe	laufen	n			27	Treppen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	23	4	3	0	13	2	0	8	2	4	0	0	10	2	10	2	0	0	0	3	0	1	0	0	0	0	0	0	3	1	0	0	0	1	0
68	Stelze	laufen	n			13	Stelzen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	12	0	2	0	0	0	0	2	0	0	0	0	6	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
158	Form	laufen	en			6	Formen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	6	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	Hürde	laufen	n			5	Hürden	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	5	0	1	0	1	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0
12	Glocke	läuten	n			75	Glocken	geläutet	X	läute|läutet|läuten|läuteten|läutete	66	0	23	0	50	2	0	4	0	0	0	0	22	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
84	Wunde	lecken	n			10	Wunden	geleckt	X	leckt|leckte|lecken|lecke|leckten	9	1	0	0	6	0	0	3	0	1	0	0	1	1	36	3	0	0	0	15	0	0	0	0	0	0	0	0	8	0	0	0	0	6	0
1	Karte	legen	n			595	Karten	gelegt	X	legte|legst|lege|legten|legen|legt	340	11	104	0	40	1	0	57	2	2	0	0	140	7	19	1	0	0	0	3	0	2	0	0	0	0	0	0	8	0	0	0	0	10	0
26	Fliese	legen	n			34	Fliesen	gelegt	X	legte|legst|lege|legten|legen|legt	30	1	5	0	1	0	0	9	0	5	0	0	13	0	14	0	0	0	0	2	0	1	0	1	0	0	0	0	6	0	0	1	0	2	0
102	Bombe	legen	n			9	Bomben	gelegt	X	legte|legst|lege|legten|legen|legt	8	0	0	0	5	0	0	5	0	1	0	0	1	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0
146	Platte	legen	n			6	Platten	gelegt	X	legte|legst|lege|legten|legen|legt	5	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
148	Mine	legen	n			6	Minen	gelegt	X	legte|legst|lege|legten|legen|legt	6	1	2	0	0	0	0	3	0	2	0	0	1	1	7	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
172	Spur	legen	en			5	Spuren	gelegt	X	legte|legst|lege|legten|legen|legt	3	0	0	0	1	0	0	0	0	1	0	0	3	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
113	Gedanke	lesen	n			8	Gedanken	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las	75	1	15	0	43	3	0	9	1	0	0	0	40	0	223	15	0	0	0	37	0	0	0	0	0	0	1	0	41	1	0	1	0	13	1
135	Zeitung	lesen	s			6	Zeitungen	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las	55	1	9	0	0	0	0	16	1	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
143	Spur	lesen	en			6	Spuren	gelesen	X	lest|läse|last|läsen|liest|lese|lesen|leset|lasen|las	28	0	2	0	3	0	1	6	0	1	0	0	18	0	15	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0
