Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
108	Punkt	zählen	e			8	Punkte	gezählt	X	zählst|zählten|zähle|zählen|zählte|zählt
174	Silbe	zählen	n			5	Silben	gezählt	X	zählst|zählten|zähle|zählen|zählte|zählt
190	Karte	zählen	n			5	Karten	gezählt	X	zählst|zählten|zähle|zählen|zählte|zählt
110	Maschine	zeichnen	n			8	Maschinen	gezeichnet	X	zeichnen|zeichnet|zeichnete|zeichne|zeichneten
112	Karte	zeichnen	n			8	Karten	gezeichnet	X	zeichnen|zeichnet|zeichnete|zeichne|zeichneten
157	Form	zeichnen	en			6	Formen	gezeichnet	X	zeichnen|zeichnet|zeichnete|zeichne|zeichneten
39	Kerze	ziehen	n			23	Kerzen	gezogen	X	ziehst|zog|ziehe|ziehen|zogen|zögen|zieht|zöge
41	Zahn	ziehen	~e			22	Zähne	gezogen	X	ziehst|zog|ziehe|ziehen|zogen|zögen|zieht|zöge
80	Karte	ziehen	n			11	Karten	gezogen	X	ziehst|zog|ziehe|ziehen|zogen|zögen|zieht|zöge
185	Linie	ziehen	n			5	Linien	gezogen	X	ziehst|zog|ziehe|ziehen|zogen|zögen|zieht|zöge
197	Haar	ziehen	e			5	Haare	gezogen	X	ziehst|zog|ziehe|ziehen|zogen|zögen|zieht|zöge
144	Schuh	zubinden	e		zu	6	Schuhe	zugebunden	zuzubinden	zubinden
22	Auge	zucken	n			38	Augen	gezuckt	X	zuckt|zuckte|zuckten|zucken|zucke
117	Zahn	zusammenbeißen	~e		zusammen	7	Zähne	zusammengebissen	zusammenzubeißen	zusammenbeißt|zusammenbeissen|zusammenbeisst|zusammenbeißen
