# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
Mensch_+en_bezogen	4	
Maulwurf_+s_hausen	4	
Marke_+n_denken	4	
Made_+n_hausen	4	
Liebling_+s_fressen	4	
Leistung_+s_bewerben	4	
Kurve_+n_quietschen	4	
Kuh_+=e_melken	4	
Kleid_+er_waschen	4	
Klasse_+n_eigen	4	
Klamotte_+n_kaufen	4	
Kind_+er_großziehen	4	
Kette_+n_reinigen	4	
Katze_+n_züchten	4	
Karte_+n_kaufen	4	
Höhe_+n_bergsteigen	4	
Huf_+e_auskratzen	4	
Hase_+n_hausen	4	
Hand_+=e_abhacken	4	
Haar_+e_ausreißen	4	
Granate_+n_werfen	4	
Glück_+s_streben	4	
Glück_+s_schießen	4	
Glück_+s_erleben	4	
Glaube_+ns_praktizieren	4	
Gewinn_+e_machen	4	
Gewicht_+s_ziehen	4	
Gesundheit_+s_bezogen	4	
Geschichte_+n_erfinden	4	
Gelegenheit_+s_rauchen	4	
Gegenstand_+s_bezogen	4	
Fürst_+en_schießen	4	
Fährte_+n_legen	4	
Frucht_+=e_fasten	4	
Freiheit_+s_empfinden	4	
Forschung_+s_klonen	4	
Flagge_+n_hissen	4	
Figur_+en_springen	4	
Eröffnung_+s_schießen	4	
Erziehung_+s_versagen	4	
Erstattung_+s_begehren	4	
Erleichterung_+s_trinken	4	
Eigentum_+s_denken	4	
Durchschnitt_+s_aussehen	4	
Dringlichkeit_+s_anfragen	4	
Diffusion_+s_offen	4	
Bär_+en_jagen	4	
Bude_+n_bauen	4	
Blume_+n_streuen	4	
Blume_+n_binden	4	
Bild_+er_betrachten	4	
Bild_+er_bearbeiten	4	
Bewährung_+s_versagen	4	
Bewegung_+s_sehen	4	
Bewegung_+s_empfinden	4	
Berichtigung_+s_begehren	4	
Behandlung_+s_versagen	4	
Barriere_+n_springen	4	
Bahnhof_+s_durchsagen	4	
Ausweisung_+s_begehren	4	
Auge_+n_aufreißen	4	
Aufklärung_+s_verschulden	4	
Anfang_+s_schießen	4	
Amt_+s_angemessen	4	
Ahn_+en_gedenken	4	
Adel_+s_hausen	4	
Öffnung_+s_zeigen	3	
Ähre_+n_raufen	3	
Zwang_+s_hören	3	
Zustimmung_+s_ersuchen	3	
Zielgruppe_+n_denken	3	
Zerstörung_+s_gedenken	3	
Zeitung_+s_machen	3	
Zahn_+=e_mahlen	3	
Zahl_+en_denken	3	
Wolke_+n_verhangen	3	
Wolke_+n_gucken	3	
Wohnung_+en_bestechen	3	
Wohlstand_+s_denken	3	
Witz_+e_erzählen	3	
Witterung_+s_bedingen	3	
Wissen_+s_abfragen	3	
Wirtschaft_+s_übersetzen	3	
Wirtschaft_+s_rechnen	3	
Wirtschaft_+s_gebaren	3	
Wippe_+n_hausen	3	
Wind_+s_hausen	3	
Wilhelm_+s_hausen	3	
Wild_+s_hausen	3	
Wette_+n_hausen	3	
Werk_+s_tröten	3	
Welle_+n_ausrichten	3	
Weihnacht_+s_schießen	3	
Weihnacht_+s_baden	3	
Ware_+n_verkehren	3	
Wahrheit_+s_empfinden	3	
Waffe_+n_tragen	3	
Wache_+n_hausen	3	
Vollstreckung_+s_übereinkommen	3	
Volk_+s_vertreten	3	
Vibration_+s_schweißen	3	
Vertrieb_+s_erfahren	3	
Vertrag_+s_denken	3	
Verkehr_+s_bezogen	3	
Verkauf_+s_wägen	3	
Vergleich_+s_hören	3	
Vergeltung_+s_denken	3	
Verfügung_+s_begehren	3	
Verantwortung_+s_empfinden	3	
Variante_+n_fahren	3	
Unternehmen_+s_gebaren	3	
Treppe_+n_gehen	3	
Tonne_+n_abschlagen	3	
Titte_+n_gucken	3	
Teilung_+s_begehren	3	
Stunde_+n_geben	3	
Stunde_+n_cremen	3	
Straße_+n_zugelassen	3	
Straße_+n_radfahren	3	
Strafrecht_+s_übereinkommen	3	
Stein_+e_schmeißen	3	
Station_+s_ansagen	3	
Stabilität_+s_versagen	3	
Staat_+s_fahren	3	
Spritze_+n_geben	3	
Sprache_+n_reden	3	
Spatz_+en_hausen	3	
Sozialstaat_+s_denken	3	
Solidarität_+s_empfinden	3	
Sohle_+n_gleiten	3	
Sichtbarkeit_+s_anfragen	3	
Sicherheit_+s_beauftragen	3	
Serie_+n_schießen	3	
Seele_+n_verschmolzen	3	
Seele_+n_empfinden	3	
Seele_+n_aussaugen	3	
Schwangerschaft_+s_erleben	3	
Schuld_+en_eintreiben	3	
Schuh_+e_ausziehen	3	
Schuh_+e_anziehen	3	
Schlichtung_+s_begehren	3	
Schleife_+n_lassen	3	
Schiff_+s_eigen	3	
Scheidung_+s_willigen	3	
Scheibe_+n_schlagen	3	
Sanierung_+s_betroffen	3	
Saite_+n_ziehen	3	
Rübe_+n_verziehen	3	
Räumung_+s_begehren	3	
Rute_+n_kupieren	3	
Runde_+n_zählen	3	
Rolle_+n_lassen	3	
Rocker_+s_hausen	3	
Robbe_+n_schlachten	3	
Rivalität_+s_denken	3	
Richtung_+s_hoeren	3	
Region_+en_bezogen	3	
Realität_+s_empfinden	3	
