Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
493	Auftrag	geben	0			7	Aufträge	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
614	Pfötchen	geben	0			5	Pfötchen	gegeben	X	gibst|gebt|geben|gibbet|gabs|gäbe|gibt|gibts|gibs|gaben|gebe|gab
78	Essen	gehen	0			62	Essen	gegangen	X	gehst|gehts|gehe|gehen|gehn|ging|gingen|gehet|gings|geht|ginge
533	Klo	gehen	0			6	Klos	gegangen	X	gehst|gehts|gehe|gehen|gehn|ging|gingen|gehet|gings|geht|ginge
600	Schwimmen	gehen	0			5	Schwimmen	gegangen	X	gehst|gehts|gehe|gehen|gehn|ging|gingen|gehet|gings|geht|ginge
603	Schritt	gehen	0			5	Schritte	gegangen	X	gehst|gehts|gehe|gehen|gehn|ging|gingen|gehet|gings|geht|ginge
70	Blei	gießen	0			69	Blei	gegossen	X	goss|giesst|gieße|gießen|gossen|gössen|giesse|goß|giessen|gießt
445	Vakuum	gießen	0			7	Vakuum	gegossen	X	goss|giesst|gieße|gießen|gossen|gössen|giesse|goß|giessen|gießt
487	Druck	gießen	0			7	Drucken	gegossen	X	goss|giesst|gieße|gießen|gossen|gössen|giesse|goß|giessen|gießt
628	Kugel	gießen	0			5	Kugeln	gegossen	X	goss|giesst|gieße|gießen|gossen|gössen|giesse|goß|giessen|gießt
80	Para	gleiten	0			60	Paras	geglitten	X	glitten|glitt|gleite|gleitet|gleiten
126	Wirbel	gleiten	0			34	Wirbel	geglitten	X	glitten|glitt|gleite|gleitet|gleiten
179	Ballon	glühen	0			22	Ballons	geglüht	X	glühten|glühen|glühte|glüht|glühe
669	Beute	greifen	0			5	Beute	gegriffen	X	greife|greifst|griffe|greift|griffen|greifen|griff
95	Fußball	gucken	0			48	Fußbälle	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt
